pair,model,accuracy,f1,mcc,sharpe_per_bar,pnl_log,n_total,n_folds,elapsed_seconds
BNBUSDT,cnn_candle,0.5270394381415451,0.5095084997262731,0.054579033359737295,0.0063356268380829394,1.4368399480331455,37020.0,6,19899.7
BNBUSDT,lstm,0.5247974068071313,0.502983249450882,0.0559551742458529,0.014958648463112631,3.450134263089516,37020.0,6,530.11
BNBUSDT,xgboost,0.5236358725013506,0.500663529311779,0.05003819296734763,0.02318917295514742,5.236261675260307,37020.0,6,30.88
BNBUSDT,patchtst,0.5190707725553755,0.4217213290719073,0.0500126417005953,0.012483667428982378,2.5823955479232965,37020.0,6,444.31
BNBUSDT,cnn_gaf,0.5102377093462993,0.5514937121179563,0.025969466846359375,-0.0007948806131405051,-0.23681456612505794,37020.0,6,16112.95
BNBUSDT,naive_majority,0.5019989195029714,0.668358108870709,0.0,0.003124625814980865,0.5417779919863281,37020.0,6,5.06
BNBUSDT,naive_persistence,0.4768503511615343,0.4785325021401365,-0.046902421374864486,-0.006082262197292196,-1.256010049244366,37020.0,6,1.73
BTCUSDT,cnn_candle,0.5404822067803748,0.5593099656585471,0.08032902817629696,0.011775354482889541,2.576999276010482,37992.0,6,16560.92
BTCUSDT,lstm,0.5341650873868182,0.49335855850750626,0.07127935740757635,0.005407338519518431,1.0754935063965096,37992.0,6,611.02
BTCUSDT,cnn_gaf,0.5329806275005264,0.5652050645884578,0.06684498272434439,0.005586924625974528,1.2344143827186262,37992.0,6,18609.55
BTCUSDT,xgboost,0.5325858075384291,0.553819092323107,0.0662421050216754,0.005741278863050909,1.2524874656345828,37992.0,6,35.07
BTCUSDT,patchtst,0.5291113918719731,0.5486401919314113,0.06015229139624857,0.00631802879411588,1.2238905679365473,37992.0,6,545.19
BTCUSDT,naive_majority,0.5056064434617814,0.6716132547715837,0.0,0.0037119684931935047,0.4138265753750979,37992.0,6,1.35
BTCUSDT,naive_persistence,0.46888818698673407,0.4747417927871189,-0.06249307087886443,-0.008480310969179672,-1.5757180864994578,37992.0,6,1.31
ETHUSDT,lstm,0.5336386607706886,0.558622521231174,0.06965589395438239,-0.0018407100877026925,-0.42051552814490567,31660.0,5,472.43
ETHUSDT,cnn_candle,0.5334491471888819,0.4971701296424702,0.07062202022636907,-0.006560195713829958,-1.513609557623278,31660.0,5,13663.35
ETHUSDT,xgboost,0.5321541377132027,0.5483960517285869,0.06522003211536333,0.012247518728622023,2.7554716714848437,31660.0,5,32.52
ETHUSDT,patchtst,0.5272583701831964,0.5311503699792024,0.05745173045349191,-0.005238108652250898,-1.180742811752643,31660.0,5,414.28
ETHUSDT,cnn_gaf,0.5215729627289956,0.5870575597151075,0.04763274470794226,-0.0031188059242207313,-1.1883771335018343,31660.0,5,13898.31
ETHUSDT,naive_majority,0.5038534428300695,0.670058086460742,0.0,0.0016822105118426294,-0.10826122458543186,31660.0,5,4.49
ETHUSDT,naive_persistence,0.4673720783322805,0.4713310531978928,-0.06549838499986872,-0.003984158736164479,-0.5773755288971865,31660.0,5,1.97
SOLUSDT,xgboost,0.52046783625731,0.47508544982767265,0.04310509900333596,0.023035798528900545,5.996522523106884,24966.0,6,25.46
SOLUSDT,cnn_candle,0.5171433149082753,0.44415079024008075,0.036052250714634734,0.0008947699037702241,0.1688960766843663,24966.0,6,12970.35
SOLUSDT,lstm,0.5154209725226307,0.4454841363078417,0.037236784953897144,0.01629817199209676,4.32582503908428,24966.0,6,356.39
SOLUSDT,patchtst,0.5061283345349675,0.28681736753734743,0.024654106011433707,0.001842241021997353,0.3984818480788269,24966.0,6,307.29
SOLUSDT,cnn_gaf,0.5043659376752383,0.4296079362498304,0.011972596043088427,-0.004062342406797668,-0.7575192478104369,24966.0,6,12136.51
SOLUSDT,naive_majority,0.498517984458864,0.0,0.0,-0.005887112473914492,-1.6851628450551173,24966.0,6,1.9
SOLUSDT,naive_persistence,0.47809020267563884,0.47943741115777344,-0.04415455002919568,-0.007571612699571627,-2.1329159354722003,24966.0,6,0.85
XRPUSDT,cnn_candle,0.5299799369446833,0.5508152011524924,0.06104920149604851,0.007698217992176554,2.4352648110862525,34890.0,6,14052.87
XRPUSDT,xgboost,0.5294067067927773,0.5146726889756805,0.0614265360673806,0.010439044736304581,3.1491602630058226,34890.0,6,28.78
XRPUSDT,cnn_gaf,0.5285468615649184,0.46041767121165267,0.05730915297916865,0.01683185181795023,5.221908370559947,34890.0,6,16067.28
XRPUSDT,lstm,0.5262539409572944,0.49099644929177033,0.055154876955168436,-0.003221634730255846,-1.030398709641287,34890.0,6,508.21
XRPUSDT,patchtst,0.5224132989395243,0.469692066251507,0.050934519637254275,0.006724028669641886,2.0295018593770044,34890.0,6,464.29
XRPUSDT,naive_majority,0.49721983376325596,0.33263775934789447,0.0,0.002357420917656511,1.1980193331842464,34890.0,6,2.74
XRPUSDT,naive_persistence,0.47996560619088563,0.48120766048197094,-0.04034793550547326,0.0009228985222813694,0.1011112142282794,34890.0,6,1.16
